year,mean
1840,9.18
1841,6.783333333
1842,7.183333333
1843,6.275
1844,7.366666667
1845,6.841666667
1846,7.708333333
1847,6.166666667
1848,6.866666667
1849,6.308333333
1850,6.6
1851,6.408333333
1852,6.108333333
1853,6.533333333
1854,6.758333333
1855,6.383333333
1856,5.2
1857,5.616666667
1858,7.108333333
1859,6.858333333
1860,7.025
1861,6.816666667
1862,6.833333333
1863,7.108333333
1864,7.275
1865,7.308333333
1866,6.55
1867,6.958333333
1868,6.408333333
1869,6.341666667
1870,7.883333333
1871,6.816666667
1872,6.016666667
1873,5.783333333
1874,6.716666667
1875,4.783333333
1876,6.633333333
1877,7.791666667
1878,8.416666667
1879,6.616666667
1880,7.483333333
1881,7.8
1882,7.408333333
1883,5.316666667
1884,6.375
1885,5.058333333
1886,6.358333333
1887,6.641666667
1888,5.95
1889,7.491666667
1890,7.266666667
1891,7.683333333
1892,6.958333333
1893,6.375
1894,8.191666667
1895,6.791666667
1896,7.45
1897,7.866666667
1898,8.625
1899,7.791666667
1900,8.358333333
1901,7.716666667
1902,7.708333333
1903,7.833333333
1904,5.891666667
1905,7.233333333
1906,8.225
1907,6.883333333
1908,8.208333333
1909,7.841666667
1910,8.016666667
1911,8.75
1912,7.15
1913,8.908333333
1914,7.816666667
1915,8.291666667
1916,8.025
1917,6.258333333
1918,7.8
1919,9.1
1920,7.741666667
1921,10.00833333
1922,8.958333333
1923,7.608333333
1924,7.033333333
1925,7.708333333
1926,6.566666667
1927,8.225
1928,8.108333333
1929,7.808333333
1930,8.583333333
1931,9.683333333
1932,8.808333333
1933,8.641666667
1934,7.616666667
1935,7.866666667
1936,8.058333333
1937,8.7
1938,9.125
1939,8.45
1940,7.475
1941,9.175
1942,8.691666667
1943,7.825
1944,8.775
1945,8.133333333
1946,9.133333333
1947,8.633333333
1948,8.85
1949,9.966666667
1950,8.325
1951,9.025
1952,9.625
1953,10.2
1954,9.033333333
1955,9.716666667
1956,8.441666667
1957,9.266666667
1958,8.433333333
1959,9.2
1960,8.716666667
1961,9.15
1962,8.666666667
1963,8.458333333
1964,9.141666667
1965,8.383333333
1966,8.716666667
1967,8.341666667
1968,8.625
1969,8.925
1970,8.95
1971,9.183333333
1972,8.358333333
1973,9.866666667
1974,8.883333333
1975,9.733333333
1976,8.458333333
1977,9.108333333
1978,8.075
1979,8.283333333
1980,8.258333333
1981,8.791666667
1982,8.475
1983,9.316666667
1984,9.041666667
1985,8.808333333
1986,9.083333333
1987,10.13333333
1988,9.425
1989,8.55
1990,10
1991,10.28333333
1992,8.475
1993,8.775
1994,8.858333333
1995,9.2
1996,8.616666667
1997,8.983333333
1998,11.4
1999,10.575
2000,9.441666667
2001,10.63333333
2002,10.4
